Unit Name ,Fuel Type ,Month Unit in Service ,Year Unit in Service ,Dispatching ISO ,Dispatching ISO Zonal Location,Operating Capacity (Owner - GSC) (MW),Summer Capacity (Owner - GSC) (MW),Winter Capacity (Owner - GSC) (MW),Non-Fuel Variable O&M Costs per MWh (Owner) ($/MWh),Fuel Costs per MWh (Owner) ($/MWh),Variable Costs ($/MWh),Fixed O&M Costs per kW-Year (Owner) ($/kW-year)
Augusta Plant No 1 IC 8,Gas,8,2016,SPP,SPP,2,2,2,20.917832,155.606494,176.524326,10.67096
Augusta Plant No 2 IC 1,Gas,10,1968,SPP,SPP,4,4,4,31.539538,31.321533,62.861071,14.966486
Augusta Plant No 2 IC 2,Gas,7,1968,SPP,SPP,4,4,4,31.539538,31.321533,62.861071,14.966486
Augusta Plant No 2 IC 3,Gas,7,1981,SPP,SPP,6,6,6,31.539538,31.321533,62.861071,14.966486
Augusta Plant No 2 IC 4,Gas,3,2005,SPP,SPP,6.1,6.1,6.1,31.539538,31.321533,62.861071,14.966486
Aurora CTG1,Gas,6,2002,PJM,COMED,199.3,168.2,199.3,2.33955,30.478913,32.818463,3.254094
Aurora CTG10,Gas,6,2001,PJM,COMED,50.2,46.8,50.2,2.33955,26.230783,28.570333,3.254094
Aurora CTG2,Gas,6,2001,PJM,COMED,196.7,166,196.7,2.33955,25.707162,28.046712,3.254094
Aurora CTG3,Gas,6,2001,PJM,COMED,194.3,163.9,194.3,2.33955,28.745386,31.084936,3.254094
Aurora CTG4,Gas,5,2001,PJM,COMED,194.3,163.9,194.3,2.33955,29.143614,31.483164,3.254094
Aurora CTG5,Gas,5,2001,PJM,COMED,50.7,45.7,50.7,2.33955,26.035136,28.374686,3.254094
Aurora CTG6,Gas,5,2001,PJM,COMED,49.8,47.2,49.8,2.33955,25.702134,28.041684,3.254094
Aurora CTG7,Gas,6,2001,PJM,COMED,48.8,46.5,48.8,2.33955,26.244062,28.583612,3.254094
Aurora CTG8,Gas,5,2001,PJM,COMED,48.1,45.7,48.1,2.33955,26.284396,28.623946,3.254094
Aurora CTG9,Gas,6,2001,PJM,COMED,50.2,47.1,50.2,2.33955,26.614617,28.954167,3.254094
Avon Lake ST 9,Coal,1,1970,PJM,ATSI,627,615,627,7.428367,45.463596,52.891963,27.459871
Bacliff Peakers CT BCGT1,Gas,7,2018,ERCOT,Houston,27,27,27,5.972028,35.050678,41.022706,6.266467
Bacliff Peakers CT BCGT1,Gas,7,2018,ERCOT,Houston,27,27,27,5.972028,35.050678,41.022706,6.266467
Bacliff Peakers CT BCGT2,Gas,7,2018,ERCOT,Houston,27,27,27,5.972028,35.694224,41.666252,6.266467
Bacliff Peakers CT BCGT2,Gas,7,2018,ERCOT,Houston,27,27,27,5.972028,35.694224,41.666252,6.266467
Bacliff Peakers CT BCGT3,Gas,7,2018,ERCOT,Houston,27,27,27,5.972028,36.52948,42.501508,6.266467
Bacliff Peakers CT BCGT3,Gas,7,2018,ERCOT,Houston,27,27,27,5.972028,36.52948,42.501508,6.266467
Bacliff Peakers CT BCGT4,Gas,7,2018,ERCOT,Houston,27,27,27,5.972028,35.885311,41.857339,6.266467
Bacliff Peakers CT BCGT4,Gas,7,2018,ERCOT,Houston,27,27,27,5.972028,35.885311,41.857339,6.266467
Bacliff Peakers CT BCGT5,Gas,7,2018,ERCOT,Houston,27,27,27,5.972028,35.355099,41.327127,6.266467
Bacliff Peakers CT BCGT5,Gas,7,2018,ERCOT,Houston,27,27,27,5.972028,35.355099,41.327127,6.266467
Bacliff Peakers CT BCGT6,Gas,7,2018,ERCOT,Houston,27,27,27,5.972028,36.34539,42.317418,6.266467
Bacliff Peakers CT BCGT6,Gas,7,2018,ERCOT,Houston,27,27,27,5.972028,36.34539,42.317418,6.266467
Bailey ST 1,Gas,7,1966,MISO,Z8,122,122,122,41.103521,32.982551,74.086072,24.50676
Bailly CT 10,Gas,11,1968,MISO,Z6,31,31,31,5.46444,77.765959,83.230399,33.643236
Baldwin ST 1,Coal,7,1970,MISO,Z4,590,576,590,3.49394,20.496242,23.990182,28.547335
Baldwin ST 2,Coal,3,1973,MISO,Z4,595,581,595,3.49394,20.198683,23.692623,28.547335
Barney M Davis CC 2,Gas,3,2010,ERCOT,South,325,319,325,1.586946,19.618989,21.205935,9.985717
Barney M Davis CC 3,Gas,3,2010,ERCOT,South,165,157,165,1.586946,19.618989,21.205935,9.985717
Barney M Davis CC 4,Gas,3,2010,ERCOT,South,165,157,165,1.586946,19.618989,21.205935,9.985717
Barney M Davis ST 1,Gas,5,1974,ERCOT,South,330,300,330,29.496968,30.724176,60.221144,14.686238
Barre Substation CT 1,Gas,9,2007,CAISO,SP-15,49,49,49,15.955156,35.183702,51.138858,19.280293
Bastrop Energy Center CC 0001,Gas,5,2002,ERCOT,South,164,149,164,1.434572,21.217015,22.651587,11.201782
Bastrop Energy Center CC 0002,Gas,5,2002,ERCOT,South,164,149,164,1.434572,21.217015,22.651587,11.201782
Bastrop Energy Center CC 0003,Gas,5,2002,ERCOT,South,227,227,221,1.434572,21.217015,22.651587,11.201782
Batesville Generation Facility CC CTG1,Gas,8,2000,MISO,Z10,184.5,176,184.5,1.183681,18.828982,20.012663,10.582935
Batesville Generation Facility CC CTG2,Gas,8,2000,MISO,Z10,184.5,176,184.5,1.183681,18.828982,20.012663,10.582935
Batesville Generation Facility CC CTG3,Gas,8,2000,MISO,Z10,184.5,176,184.5,1.183681,18.828982,20.012663,10.582935
Batesville Generation Facility CC STG1,Gas,8,2000,MISO,Z10,110,110,110,1.183681,18.828982,20.012663,10.582935
Batesville Generation Facility CC STG2,Gas,8,2000,MISO,Z10,110,110,110,1.183681,18.828982,20.012663,10.582935
Batesville Generation Facility CC STG3,Gas,8,2000,MISO,Z10,110,110,110,1.183681,18.828982,20.012663,10.582935
Baxter Wilson ST 1,Gas,3,1967,MISO,Z10,542.1,529.8,542.1,4.217334,27.327839,31.545173,7.148751
Bay Front ST 5,Gas,NA,1951,MISO,Z1,18,18,18,14.430726,46.407457,60.838183,51.440683
Bay Front ST 6,Gas,NA,1956,MISO,Z1,23,23,23,14.430726,46.532779,60.963505,51.440683
Bay Shore ST 1,Coal,8,1955,PJM,ATSI,136,136,136,4.059605,27.683901,31.743506,19.068111
Bayonne Energy Center CT GT1,Gas,6,2012,New York,Zone J (NYC),62.8,56.3,62.8,1.53714,28.412296,29.949436,3.452876
Bayonne Energy Center CT GT10,Gas,5,2018,New York,Zone J (NYC),66,61.3,66,1.53714,25.870606,27.407746,3.452876
Bayonne Energy Center CT GT2,Gas,6,2012,New York,Zone J (NYC),62.8,54.7,62.8,1.53714,28.383576,29.920716,3.452876
Bayonne Energy Center CT GT3,Gas,6,2012,New York,Zone J (NYC),62.8,59.2,62.8,1.53714,28.454277,29.991417,3.452876
Bayonne Energy Center CT GT4,Gas,6,2012,New York,Zone J (NYC),61.4,58.5,61.4,1.53714,28.164031,29.701171,3.452876
Bayonne Energy Center CT GT5,Gas,6,2012,New York,Zone J (NYC),63.1,57.3,63.1,1.53714,28.696654,30.233794,3.452876
Bayonne Energy Center CT GT6,Gas,6,2012,New York,Zone J (NYC),62.6,56.9,62.6,1.53714,26.94428,28.48142,3.452876
Bayonne Energy Center CT GT7,Gas,6,2012,New York,Zone J (NYC),63.1,57.7,63.1,1.53714,27.722846,29.259986,3.452876
Bayonne Energy Center CT GT8,Gas,6,2012,New York,Zone J (NYC),62.9,57.6,62.9,1.53714,28.382492,29.919632,3.452876
Bayonne Energy Center CT GT9,Gas,5,2018,New York,Zone J (NYC),66,61.3,66,1.53714,27.935356,29.472496,3.452876
Bayou Cove CT 0001,Gas,7,2002,MISO,Z9,80,72,80,4.128126,33.947237,38.075363,3.461768
Bayou Cove CT 0002,Gas,7,2002,MISO,Z9,80,72,80,4.128126,32.522952,36.651078,3.461768
Bayou Cove CT 0003,Gas,8,2002,MISO,Z9,80,72,80,4.128126,34.428012,38.556138,3.461768
Bayou Cove CT 0004,Gas,8,2002,MISO,Z9,80,72,80,4.128126,34.560802,38.688928,3.461768
Bayswater Peaking Facility CT 1,Gas,6,2002,New York,Zone K (Long Island),56.1,53.9,56.1,1.53714,31.187348,32.724488,4.886083
Bear Garden CC 1A,Gas,5,2011,PJM,DOM,205,190,205,1.08018,19.503033,20.583213,10.412873
Bear Garden CC 1B,Gas,5,2011,PJM,DOM,205,190,205,1.08018,19.503033,20.583213,10.412873
Bear Garden CC 1C,Gas,5,2011,PJM,DOM,244,242,244,1.08018,19.503033,20.583213,10.412873
Bear Valley IC ICE1,Gas,1,2005,CAISO,SP-15,1.2,1.2,1.2,477.099101,343.970247,821.069348,16.512066
Bear Valley IC ICE2,Gas,1,2005,CAISO,SP-15,1.2,1.2,1.2,477.099101,343.970247,821.069348,16.512066
Bear Valley IC ICE3,Gas,1,2005,CAISO,SP-15,1.2,1.2,1.2,477.099101,343.970247,821.069348,16.512066
Bear Valley IC ICE4,Gas,1,2005,CAISO,SP-15,1.2,1.2,1.2,477.099101,343.970247,821.069348,16.512066
Bear Valley IC ICE5,Gas,1,2005,CAISO,SP-15,1.2,1.2,1.2,477.099101,343.970247,821.069348,16.512066
Bear Valley IC ICE6,Gas,1,2005,CAISO,SP-15,1.2,1.2,1.2,477.099101,343.970247,821.069348,16.512066
Bear Valley IC ICE7,Gas,1,2005,CAISO,SP-15,1.2,1.2,1.2,477.099101,343.970247,821.069348,16.512066
Beatrice Power Station CC CT1,Gas,1,2005,SPP,SPP,69,69,69,3.511566,21.259477,24.771043,13.416679
Beatrice Power Station CC CT2,Gas,1,2005,SPP,SPP,68,68,68,3.511566,21.259477,24.771043,13.416679
Beatrice Power Station CC ST1,Gas,1,2005,SPP,SPP,83,83,83,3.511566,21.259477,24.771043,13.416679
Beaver City IC 1,Gas,10,1957,SPP,SPP,0.4,0.4,0.4,20.917832,182.737514,203.655346,10.67096
Beaver City IC 2,Gas,9,1963,SPP,SPP,0.3,0.3,0.3,15.141072,32.979471,48.120543,10.395876
Beaver City IC 3,Gas,10,1947,SPP,SPP,0.2,0.2,0.2,20.917832,182.737451,203.655283,10.67096
Beaver City IC 4,Gas,9,1967,SPP,SPP,0.9,0.8,0.9,15.141072,32.979532,48.120604,10.395876
Beaver Dam IC GEN1,Gas,5,2016,PJM,PENLC,4.2,4.2,4.2,11.822116,18.213074,30.03519,18.900265
Beaver Dam IC GEN2,Gas,5,2016,PJM,PENLC,4.2,4.2,4.2,11.822116,18.213074,30.03519,18.900265
Beaver Dam IC GEN3,Gas,5,2016,PJM,PENLC,4.2,4.2,4.2,11.822116,18.213074,30.03519,18.900265
Beaver Dam IC GEN4,Gas,5,2016,PJM,PENLC,4.2,4.2,4.2,11.822116,18.213074,30.03519,18.900265
Beaver Dam IC GEN5,Gas,5,2016,PJM,PENLC,4.2,4.2,4.2,11.822116,18.213074,30.03519,18.900265
Belle River CT 12-1,Gas,9,1999,MISO,Z7,93,75,93,1.591149,33.812825,35.403974,3.57286
Belle River CT 12-2,Gas,9,1999,MISO,Z7,93,75,93,1.591149,34.521333,36.112482,3.57286
Belle River CT 13-1,Gas,9,1999,MISO,Z7,92,74,92,1.591149,34.022516,35.613665,3.57286
Belle River ST1,Coal,8,1984,MISO,Z7,516.83,516.83,516.83,1.16757,15.660593,16.828163,16.250205
Belle River ST1,Coal,8,1984,MISO,Z7,118.17,118.17,118.17,1.16757,15.660593,16.828163,16.250205
Belle River ST2,Coal,7,1985,MISO,Z7,516.83,516.83,516.83,1.16757,15.498318,16.665888,16.250205
Belle River ST2,Coal,7,1985,MISO,Z7,118.17,118.17,118.17,1.16757,15.498318,16.665888,16.250205
Bellingham CC U1,Gas,11,2002,New England,SEMA,299.1,266.8,299.1,1.401873,29.152422,30.554295,11.052356
Bellingham CC U2,Gas,12,2002,New England,SEMA,298.2,267.7,298.2,1.401873,29.152422,30.554295,11.052356
Benndale IC BENU1,Gas,10,2019,MISO,Z10,11.35,11.35,11.35,15.141072,33.12447,48.265542,10.395876
Benndale IC BENU2,Gas,10,2019,MISO,Z10,11.35,11.35,11.35,15.141072,33.12447,48.265542,10.395876
Bergen CC 1101,Gas,6,1995,PJM,PS,110,110,110,2.008334,20.744585,22.752919,12.605406
Bergen CC 1201,Gas,6,1995,PJM,PS,110,110,110,2.008334,20.744585,22.752919,12.605406
Bergen CC 1301,Gas,6,1995,PJM,PS,110,110,110,2.008334,20.744585,22.752919,12.605406
Bergen CC 1401,Gas,6,1995,PJM,PS,110,110,110,2.008334,20.744585,22.752919,12.605406
Bergen CC 1501,Gas,5,1959,PJM,PS,198,198,198,2.008334,20.744585,22.752919,12.605406
Bergen CC 2101,Gas,6,2002,PJM,PS,177.3,177.3,177.3,2.008334,20.744585,22.752919,12.605406
Bergen CC 2201,Gas,6,2002,PJM,PS,177.3,177.3,177.3,2.008334,20.744585,22.752919,12.605406
Bergen CC 2301,Gas,6,2002,PJM,PS,236.4,236.4,236.4,2.008334,20.744585,22.752919,12.605406
Berkshire Power CC GEN2A,Gas,9,1999,New England,WCMA,79.87,74.35,79.87,3.145052,26.190151,29.335203,14.737824
Berkshire Power CC GEN2A,Gas,9,1999,New England,WCMA,83.12,77.39,83.12,3.145052,26.190151,29.335203,14.737824
Berkshire Power CC GEN2B,Gas,9,1999,New England,WCMA,42.49,39.56,42.49,3.145052,26.190151,29.335203,14.737824
Berkshire Power CC GEN2B,Gas,9,1999,New England,WCMA,40.82,38,40.82,3.145052,26.190151,29.335203,14.737824
Bethlehem CC CC CTG1,Gas,1,2003,PJM,PL,5.78,5.78,5.78,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC CTG1,Gas,1,2003,PJM,PL,112.22,112.22,112.22,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC CTG2,Gas,1,2003,PJM,PL,6.22,6.22,6.22,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC CTG2,Gas,1,2003,PJM,PL,120.78,120.78,120.78,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC CTG3,Gas,1,2003,PJM,PL,6.22,6.22,6.22,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC CTG3,Gas,1,2003,PJM,PL,120.78,120.78,120.78,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC CTG5,Gas,1,2003,PJM,PL,5.78,5.78,5.78,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC CTG5,Gas,1,2003,PJM,PL,112.22,112.22,112.22,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC CTG6,Gas,1,2003,PJM,PL,6.22,6.22,6.22,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC CTG6,Gas,1,2003,PJM,PL,120.78,120.78,120.78,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC CTG7,Gas,1,2003,PJM,PL,6.22,6.22,6.22,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC CTG7,Gas,1,2003,PJM,PL,120.78,120.78,120.78,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC STG4,Gas,1,2003,PJM,PL,9.56,9.56,9.56,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC STG4,Gas,1,2003,PJM,PL,185.45,185.45,185.45,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC STG8,Gas,1,2003,PJM,PL,9.56,9.56,9.56,1.1997,21.222654,22.422354,10.059915
Bethlehem CC CC STG8,Gas,1,2003,PJM,PL,185.45,185.45,185.45,1.1997,21.222654,22.422354,10.059915
Bethlehem Energy Center CC 5,Gas,7,2005,New York,Zone F (Capital),206.56,185.26,206.56,0.822255,22.978343,23.800598,10.177575
Bethlehem Energy Center CC 6,Gas,7,2005,New York,Zone F (Capital),206.57,185.27,206.57,0.822255,22.978343,23.800598,10.177575
Bethlehem Energy Center CC 7,Gas,7,2005,New York,Zone F (Capital),222.57,201.27,222.57,0.822255,22.978343,23.800598,10.177575
Bethlehem Energy Center CC 8,Gas,7,2005,New York,Zone F (Capital),296.6,257,296.6,0.822255,22.978343,23.800598,10.177575
Bethpage Power Plant CT GEN5,Gas,7,2002,New York,Zone K (Long Island),2.43,2.3,2.43,1.53995,27.881804,29.421754,5.112417
Bethpage Power Plant CT GEN5,Gas,7,2002,New York,Zone K (Long Island),47.17,44.7,47.17,1.53995,27.881804,29.421754,5.112417
BHP Copper White Pine Refinery ST GEN3,Gas,12,1954,MISO,Z2,18,18,18,3.141518,38.005823,41.147341,11.9629
Big Cajun 1 CT 3,Gas,5,2001,MISO,Z9,115,105,115,4.579126,34.400096,38.979222,3.606576
Big Cajun 1 CT 4,Gas,6,2001,MISO,Z9,115,105,115,4.579126,33.956065,38.535191,3.606576
Big Cajun 1 ST 1,Gas,6,1972,MISO,Z9,110,110,110,24.31729,33.851637,58.168927,17.226315
Big Cajun 1 ST 2,Gas,6,1972,MISO,Z9,110,110,110,24.31729,33.851637,58.168927,17.226315
Big Cajun 2 ST 1,Coal,7,1981,MISO,Z9,568,568,568,5.512652,28.28697,33.799622,48.487231
Big Cajun 2 ST 2,Coal,7,1982,MISO,Z9,575,575,575,5.512652,31.804129,37.316781,48.487231
Big Cajun 2 ST 3,Coal,4,1983,MISO,Z9,336.4,336.4,336.4,5.512652,26.205849,31.718501,48.487231
Big Cajun 2 ST 3,Coal,4,1983,MISO,Z9,140.07,140.07,140.07,5.512652,26.205849,31.718501,48.487231
Big Cajun 2 ST 3,Coal,4,1983,MISO,Z9,103.53,103.53,103.53,5.512652,26.205849,31.718501,48.487231
Big Sandy Peaker CT BSG1,Gas,7,2001,PJM,AEP,57,50,57,3.047606,28.866178,31.913784,3.459997
Big Sandy Peaker CT BSG2,Gas,7,2001,PJM,AEP,57,50,57,3.047606,28.901979,31.949585,3.459997
Big Sandy Peaker CT BSG3,Gas,7,2001,PJM,AEP,57,50,57,3.047606,28.370831,31.418437,3.459997
Big Sandy Peaker CT BSG4,Gas,7,2001,PJM,AEP,57,50,57,3.047606,28.51725,31.564856,3.459997
Big Sandy Peaker CT BSG5,Gas,7,2001,PJM,AEP,57,50,57,3.047606,28.56411,31.611716,3.459997
Big Sandy Peaker CT BSG6,Gas,8,2001,PJM,AEP,57,50,57,3.047606,28.605941,31.653547,3.459997
Big Sandy ST 1,Gas,1,1963,PJM,AEP,260,260,260,5.985701,25.47206,31.457761,27.38652
Big Spring CT 1,Gas,8,2006,ERCOT,West,24,24,24,4.076479,15.886956,19.963435,5.325971
Big Stone ST 1,Coal,5,1975,MISO,Z1,107.6,107.6,107.6,4.48276,18.543216,23.025976,33.588308
Big Stone ST 1,Coal,5,1975,MISO,Z1,255.49,255.49,255.49,4.48276,18.543216,23.025976,33.588308
Big Stone ST 1,Coal,5,1975,MISO,Z1,110.92,110.92,110.92,4.48276,18.543216,23.025976,33.588308
Birchwood Power Facility ST 1,Coal,11,1996,PJM,DOM,121.15,120.2,121.15,6.102793,43.106413,49.209206,27.150802
Birchwood Power Facility ST 1,Coal,11,1996,PJM,DOM,121.15,120.2,121.15,6.102793,43.106413,49.209206,27.150802
Birdsboro CC CC GEN1,Gas,5,2019,PJM,METED,54.17,54.17,54.17,1.23602,19.382334,20.618354,14.156171
Birdsboro CC CC GEN1,Gas,5,2019,PJM,METED,108.48,108.48,108.48,1.23602,19.382334,20.618354,14.156171
Birdsboro CC CC GEN1,Gas,5,2019,PJM,METED,162.7,162.7,162.7,1.23602,19.382334,20.618354,14.156171
Birdsboro CC CC GEN1,Gas,5,2019,PJM,METED,162.65,162.65,162.65,1.23602,19.382334,20.618354,14.156171
Biron Division ST GEN1,Coal,9,1964,MISO,Z2,3.82,3.82,3.82,9.84949,33.83959,43.68908,14.372759
Biron Division ST GEN3,Coal,9,1947,MISO,Z2,1.87,1.87,1.87,9.84949,30.64288,40.49237,14.372759
Biron Division ST GEN4,Coal,10,1957,MISO,Z2,3.12,3.12,3.12,9.84949,30.64503,40.49452,14.372759
Biron Division ST GEN5,Coal,2,1987,MISO,Z2,4.99,4.99,4.99,9.84949,23.313837,33.163327,14.372759
Black Dog CC 2,Gas,6,2002,MISO,Z1,117,117,117,3.351661,19.383611,22.735272,16.646187
Black Dog CC 5,Gas,6,2002,MISO,Z1,181,165,181,3.351661,19.383611,22.735272,16.646187
Black Dog CT 6-1,Gas,4,2018,MISO,Z1,228,212,228,2.044742,28.0251,30.069842,4.192836
Bloom Energy Project FC 1,Gas,NA,2014,CAISO,NP-15,2.6,2.6,2.6,46.035764,30.07199,76.107754,0
Bloomfield IC 1,Gas,10,1975,MISO,Z3,2.3,2.3,2.3,218.420428,34.128869,252.549297,1.660297
Bloomfield IC 2,Gas,4,1945,MISO,Z3,0.2,0.2,0.2,218.420428,185.419928,403.840356,1.660297
Bloomfield IC 3,Gas,12,1964,MISO,Z3,2.2,2.2,2.2,218.420428,34.128869,252.549297,1.660297
Bloomfield IC 4,Gas,5,1946,MISO,Z3,0.2,0.2,0.2,218.420428,185.419928,403.840356,1.660297
Bloomfield IC 5,Gas,6,1951,MISO,Z3,0.8,0.8,0.8,218.420428,34.128869,252.549297,1.660297
Bloomfield IC 6,Gas,7,1958,MISO,Z3,1.2,1.2,1.2,218.420428,34.128869,252.549297,1.660297
Blossburg CT 1,Gas,5,1971,PJM,PENLC,24,16,24,21.186412,23.33033,44.516742,14.967474
Blount Street ST 6,Gas,6,1957,MISO,Z2,47.1,47.1,47.1,80.443491,43.295166,123.738657,24.057597
Blount Street ST 7,Gas,7,1961,MISO,Z2,47.2,47.2,47.2,80.443491,42.843209,123.2867,24.057597
Blue Lake (MN) CT 1,Gas,3,1974,MISO,Z1,50,39,50,3.491462,204.688031,208.179493,1.752737
Blue Lake (MN) CT 2,Gas,3,1974,MISO,Z1,50,39,50,3.491462,205.014295,208.505757,1.752737
Blue Lake (MN) CT 3,Gas,3,1974,MISO,Z1,46,36,46,3.491462,204.69007,208.181532,1.752737
Blue Lake (MN) CT 4,Gas,4,1974,MISO,Z1,48,39,48,3.491462,185.915131,189.406593,1.752737
Blue Lake (MN) CT 7,Gas,6,2005,MISO,Z1,174,150,174,3.491462,27.402014,30.893476,1.752737
Blue Lake (MN) CT 8,Gas,6,2005,MISO,Z1,177,150,177,3.491462,28.729554,32.221016,1.752737
Blue Valley ST 2,Gas,5,1958,SPP,SPP,21,21,21,41.103521,36.917601,78.021122,26.183304
Blue Valley ST 3,Gas,8,1965,SPP,SPP,51,51,51,41.103521,36.679862,77.783383,26.183304
Blue Valley ST1,Gas,4,1958,SPP,SPP,21,21,21,41.103521,37.186373,78.289894,26.183304
Blue Water Gas Plant IC 1,Gas,11,1978,MISO,Z9,0.6,0.6,0.6,15.141072,30.636183,45.777255,10.395876
Blue Water Gas Plant IC 2,Gas,11,1978,MISO,Z9,0.6,0.6,0.6,15.141072,30.636183,45.777255,10.395876
Blue Water Gas Plant IC 3,Gas,11,1978,MISO,Z9,0.6,0.6,0.6,15.141072,30.636183,45.777255,10.395876
Blue Water Gas Plant IC 4,Gas,11,1978,MISO,Z9,0.6,0.6,0.6,15.141072,30.636183,45.777255,10.395876
Blue Water Gas Plant IC 5,Gas,11,1978,MISO,Z9,0.6,0.6,0.6,15.141072,30.636183,45.777255,10.395876
Blythe Energy Project I CC CT1,Gas,12,2003,CAISO,SP-15,160.5,156.5,160.5,1.081547,22.293875,23.375422,11.182944
Blythe Energy Project I CC CT2,Gas,12,2003,CAISO,SP-15,160.5,156.5,160.5,1.081547,22.293875,23.375422,11.182944
Blythe Energy Project I CC ST1,Gas,12,2003,CAISO,SP-15,204,201,204,1.081547,22.293875,23.375422,11.182944
Bos Dairy IC BOS2,Gas,2,2011,MISO,Z6,0.6,0.6,0.6,11.080019,44.005967,55.085986,6.267608
Bos Dairy IC BOS3,Gas,12,2011,MISO,Z6,0.3,0.3,0.3,11.080019,44.005967,55.085986,6.267608
Bowline Point ST 1,Gas,9,1972,New York,Zone G (Hudson Valley),578,575,578,10.303949,30.085915,40.389864,11.562719
Bowline Point ST 2,Gas,5,1974,New York,Zone G (Hudson Valley),567,562,567,10.303949,30.077643,40.381592,11.562719
Bowling Green Generating CT1,Gas,6,2000,PJM,ATSI,33,26,33,21.625535,35.605551,57.231086,5.361035
Bowling Green Generating CT2,Gas,6,2000,PJM,ATSI,16.5,12,16.5,21.625535,35.605551,57.231086,5.361035
Bowling Green Peaking CT 1,Gas,6,2000,PJM,ATSI,32,29,32,16.066951,17.922777,33.989728,6.565281
Brame Energy Center CFB 3,Coal,2,2010,MISO,Z9,628,626.7,628,1.964425,27.683901,29.648326,28.604342
Brame Energy Center ST 1,Gas,6,1975,MISO,Z9,422,416.2,422,5.089186,31.555935,36.645121,5.158853
Brame Energy Center ST 2,Coal,8,1982,MISO,Z9,147.96,147.96,147.9,2.153601,22.154363,24.307964,29.334164
Brame Energy Center ST 2,Coal,8,1982,MISO,Z9,98.64,98.64,98.6,2.153601,22.154363,24.307964,29.334164
Brame Energy Center ST 2,Coal,8,1982,MISO,Z9,246.6,246.6,246.5,2.153601,22.154363,24.307964,29.334164
Brandon Shores ST 1,Coal,5,1984,PJM,BGE,637,635,637,3.660188,36.461623,40.121811,28.543911
Brandon Shores ST 2,Coal,5,1991,PJM,BGE,641,638,641,3.660188,35.606921,39.267109,28.543911
Brentwood CT 1,Gas,7,2001,New York,Zone K (Long Island),46.1,45.5,46.1,1.684048,28.419545,30.103593,5.392084
Bridgeport Energy CC GEN1,Gas,6,1998,New England,Connecticut,191,164,191,0.94983,19.070475,20.020305,11.678023
Bridgeport Energy CC GEN2,Gas,6,1998,New England,Connecticut,190,164,190,0.94983,19.070475,20.020305,11.678023
Bridgeport Energy CC GEN3,Gas,5,1999,New England,Connecticut,185,164,185,0.94983,19.070475,20.020305,11.678023
Bridgeport Gas Processing Plan IC 14,Gas,4,2013,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Gas Processing Plan IC 15,Gas,4,2013,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Gas Processing Plan IC 16,Gas,4,2013,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Gas Processing Plan IC 17,Gas,4,2013,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Gas Processing Plan IC 2723,Gas,12,2009,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Gas Processing Plan IC 654,Gas,7,2000,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Gas Processing Plan IC 655,Gas,2,2001,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Gas Processing Plan IC 656,Gas,2,2001,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Gas Processing Plan IC 657,Gas,4,2001,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Gas Processing Plan IC 658,Gas,2,2001,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Gas Processing Plan IC 666,Gas,9,2001,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Gas Processing Plan IC 667,Gas,9,2001,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Gas Processing Plan IC 671,Gas,9,2002,ERCOT,North,0.8,0.8,0.8,11.808416,25.639647,37.448063,16.210906
Bridgeport Harbor CC 501,Gas,6,2019,New England,Connecticut,375.7,375.7,375.7,1.23602,19.949384,21.185404,14.156171
Bridgeport Harbor CC 502,Gas,6,2019,New England,Connecticut,200.6,200.6,200.6,1.23602,19.949384,21.185404,14.156171
